"Date","Number of Tweets","Number of Retweets","Average Sentiment","Std. of Sentiment"
"2020–03-22","12,888","68,321","0.051","0.242"
"2020–03-23","10,122","66,155","0.012","0.250"
"2020–03-24","12,683","49,670","0.038","0.247"
"2020–03-25","11,627","48,086","0.024","0.248"
"2020–03-26","11,517","58,477","0.023","0.241"
"2020–03-27","10,617","56,437","0.023","0.239"
"2020–03-28","12,995","67,492","0.025","0.249"
"2020–03-29","12,594","71,276","0.029","0.250"
"2020–03-30","12,575","50,065","0.022","0.249"
"2020–03-31","11,730","73,457","0.001","0.247"
"2020–04-01","11,633","52,250","0.002","0.250"
"2020–04-02","11,755","45,096","−0.007","0.253"
"2020–04-03","13,284","80,676","0.012","0.239"
"2020–04-04","13,406","97,124","0.019","0.244"
"2020–04-05","16,163","64,282","0.022","0.240"
"2020–04-06","13,726","60,346","0.019","0.240"
"2020–04-07","12,653","55,182","0.016","0.251"
"2020–04-08","13,609","70,472","0.029","0.237"
"2020–04-09","12,220","85,158","0.019","0.240"
"2020–04-10","13,627","89,786","0.020","0.248"
"2020–04-11","14,419","81,185","0.024","0.244"
"2020–04-12","14,588","70,766","0.015","0.248"
"2020–04-13","10,205","31,491","0.026","0.242"
"2020–04-14","15,934","66,347","0.033","0.236"
"2020–04-15","14,010","70,511","0.014","0.242"
"2020–04-16","16,126","75,671","0.013","0.246"
"2020–04-17","13,311","57,687","0.025","0.239"
"2020–04-18","15,004","85,834","0.020","0.241"
"2020–04-19","15,516","67,765","0.008","0.248"
"2020–04-20","14,503","69,638","0.010","0.243"
"2020–04-21","15,603","69,510","0.009","0.245"